,Percentage
883,6 %
884,8 %
885,68 %
886,7 %
887,18 %
888,8 %
889,9 %
890,47 %
891,2 %
892,31 %
893,8 %
894,72 %
895,5 %
896,11 %
897,9 %
898,7 %
899,28 %
900,17 %
901,17 %
902,9 %
903,1 %
904,3 %
905,1 %
906,7 %
907,7 %
908,8 %
909,4 %
910,6 %
911,1 %
912,cut percent
913,lower percent
914,But percent
915,5 %
916,8 %
917,80 %
918,100 %
919,5 %
920,3 %
921,5 %
922,90 %
923,70 %
924,1 %
925,4 %
926,10 %
927,15 %
928,4 %
929,6 %
930,47 %
931,30 %
932,tax percent
933,47 %
934,30 %
935,86 %
936,9 %
937,8 %
938,8 %
939,100 %
940,4 %
941,4 %
942,8 %
943,2 %
944,7 %
945,4 %
946,year percent
947,5 %
948,15 %
949,12 %
950,Eighty-six percent
951,Fifty-four percent
952,The percent
953,2 %
954,6 %
955,5 %
956,5 %
957,5 %
958,1 %
959,5 %
960,1 %
961,3 %
962,2 %
963,0 %
964,3 %
965,8 %
966,4 %
967,9 %
968,8 %
969,12 %
970,2 %
971,3 %
972,8 %
973,5 %
974,35 %
975,61 %
976,55 %
977,57 %
978,normal percent
979,20 %
980,5 %
981,12 %
982,54 %
983,Wages percent
984,30 %
985,12 %
986,year-over-year percent
987,showing percent
988,terms percent
989,100 %
990,9 %
991,6 %
992,3 %
993,1 %
994,130 %
995,30 %
996,1 %
997,25 %
998,2 %
999,lower percent
1000,2 %
1001,75 %
1002,3 %
1003,3 %
1004,5 %
1005,5 %
1006,5 %
1007,1 %
1008,0 %
1009,3 %
1010,5 %
1011,5 %
1012,0 %
1013,5 %
1014,1 %
1015,6 %
1016,46 %
1017,2 %
1018,47 %
1019,4 %
1020,75 %
1021,20 %
1022,5 %
1023,5 %
1024,2 %
1025,0 %
1026,6 %
1027,70 %
1028,250 %
1029,30 %
1030,150 %
1031,72 %
1032,1 %
1033,77 %
1034,40 %
1035,stimulus percent
1036,35 %
1037,12 %
1038,45 %
1039,67 %
1040,33 %
1041,10 %
1042,45 %
1043,3 %
1044,3 %
1045,0 %
1046,3 %
1047,9 %
1048,0 %
1049,0 %
1050,5 %
1051,five percent
1052,35 %
1053,1 %
1054,5 %
1055,75 %
1056,75 %
1057,75 %
1058,1 %
1059,7 %
1060,75 %
1061,4 %
1062,5 %
1063,9 %
1064,7 %
1065,9 %
1066,2 %
1067,9 %
1068,24 %
1069,97 %
1070,13 %
1071,72 %
1072,26 %
1073,1 %
1074,1 %
1075,24 %
1076,13 %
1077,24 %
1078,5 %
1079,1 %
1080,17 %
1081,50 %
1082,13 %
1083,6 %
1084,5 %
1085,5 %
1086,29 %
1087,30 %
1088,75 %
1089,80 %
1090,9 %
1091,14 %
1092,3 %
1093,24 %
1094,20 %
1095,1 %
1096,5 %
1097,5 %
1098,30 %
1099,1 %
1100,5 %
1101,3 %
1102,1 %
1103,33 %
1104,80 %
1105,3 %
1106,1 %
1107,05 %
1108,95 %
1109,4 %
1110,1 %
1111,5 %
1112,chart percent
1113,25 %
1114,90 %
1115,2 %
1116,5 %
1117,7 %
1118,8 %
1119,7 %
1120,8 %
1121,7 %
1122,2 %
1123,5 %
1124,7 %
1125,8 %
1126,39 %
1127,22 %
1128,8 %
1129,30 %
1130,50 %
1131,5 %
1132,4 %
1133,7 %
1134,8 %
1135,7 %
1136,15 %
1137,25 %
1138,17 %
1139,3 %
1140,18 %
1141,35 %
1142,57 %
1143,48 %
1144,nine percent
1145,50 %
1146,63 %
1147,44 %
1148,33 %
1149,16 %
1150,50 %
1151,77 %
1152,eight percent
1153,50 %
1154,22 %
1155,76 %
1156,40 %
1157,76 %
1158,06 %
1159,75 %
1160,40 %
1161,1 %
1162,4 %
1163,0 %
1164,3 %
1165,3 %
1166,8 %
1167,9 %
1168,2 %
1169,3 %
1170,6 %
1171,4 %
1172,1 %
1173,7 %
1174,2 %
1175,5 %
1176,4 %
1177,9 %
1178,1 %
1179,9 %
1180,3 %
1181,4 %
1182,0 %
1183,9 %
1184,5 %
1185,4 %
1186,0 %
1187,4 %
1188,9 %
1189,3 %
1190,0 %
1191,8 %
1192,8 %
1193,3 %
1194,9 %
1195,6 %
1196,7 %
1197,4 %
1198,7 %
1199,3 %
1200,7 %
1201,5 %
1202,6 %
1203,1 %
1204,9 %
1205,2 %
1206,79 %
1207,38 %
1208,5 %
1209,03 %
1210,23 %
1211,60 %
1212,2 %
1213,2 %
1214,1 %
1215,2 %
1216,3 %
1217,2 %
1218,1 %
1219,95 %
1220,4 %
1221,4 %
1222,9 %
1223,4 %
1224,25 %
1225,73 %
1226,10 %
1227,6 %
1228,10 %
1229,78 %
1230,7 %
1231,35 %
1232,6 %
1233,5 %
1234,54 %
1235,65 %
1236,4 %
1237,33 %
1238,3 %
1239,8 %
1240,6 %
1241,9 %
1242,27 %
1243,37 %
1244,6 %
1245,3 %
1246,1 %
1247,9 %
1248,3 %
1249,1 %
1250,10 %
1251,10 %
1252,10 %
1253,7 %
1254,1 %
1255,7 %
1256,3 %
1257,2 %
1258,2 %
1259,16 %
1260,5 %
1261,5 %
1262,2 %
1263,4 %
1264,5 %
1265,100 %
1266,9 %
1267,9 %
1268,9 %
1269,9 %
1270,2 %
1271,3 %
1272,3 %
1273,1 %
1274,78 %
1275,35 %
1276,6 %
1277,3 %
1278,7 %
1279,3 %
1280,5 %
1281,50 %
1282,20 %
1283,6 %
1284,5 %
1285,7 %
1286,17 %
1287,4 %
1288,78 %
1289,8 %
1290,9 %
1291,3 %
1292,8 %
1293,6 %
1294,6 %
1295,98 %
1296,1 %
1297,5 %
1298,2 %
1299,1 %
1300,1 %
1301,5 %
1302,9 %
1303,30 %
1304,08 %
1305,3 %
1306,5 %
1307,6 %
1308,7 %
1309,3 %
1310,5 %
1311,13 %
1312,2 %
1313,2 %
1314,10 %
1315,2 %
1316,7 %
1317,3 %
1318,2 %
1319,4 %
1320,7 %
1321,2 %
1322,1 %
1323,27 %
1324,6 %
1325,2 %
1326,15 %
1327,50 %
1328,9 %
1329,7 %
1330,4 %
1331,5 %
1332,2 %
1333,100 %
1334,2 %
1335,6 %
1336,11 %
1337,6 %
1338,6 %
1339,13 %
1340,13 %
1341,6 %
1342,2 %
1343,10 %
1344,7 %
1345,11 %
1346,8 %
1347,8 %
1348,1 %
1349,41 %
1350,18 %
1351,3 %
1352,2 %
1353,28 %
1354,11 %
1355,14 %
1356,26 %
1357,7 %
1358,3 %
1359,13 %
1360,24 %
1361,5 %
1362,2 %
1363,34 %
1364,24 %
1365,37 %
1366,100 %
1367,5 %
1368,8 %
1369,40 %
1370,69 %
1371,13 %
1372,6 %
1373,9 %
1374,03 %
1375,26 %
1376,53 %
1377,0 %
1378,1 %
1379,73 %
1380,86 %
1381,66 %
1382,60 %
1383,73 %
1384,5 %
1385,small percent
1386,04 %
1387,1 %
1388,20 %
1389,11 %
1390,30 %
1391,6 %
1392,6 %
1393,0 %
1394,4 %
1395,10 %
1396,12 %
1397,45 %
1398,25 %
1399,10 %
1400,40 %
1401,47 %
1402,60 %
1403,8 %
1404,50 %
1405,10 %
1406,35 %
1407,20 %
1408,20 %
1409,182 %
1410,3 %
1411,2 %
1412,85 %
1413,11 %
1414,tracks percent
1415,small percent
1416,600 %
1417,63 %
1418,simply percent
1419,10 %
1420,10 %
1421,24 %
1422,10 %
1423,50 %
1424,10 %
1425,50 %
1426,24 %
1427,9 %
1428,6 %
1429,15 %
1430,10 %
1431,2 %
1432,75 %
1433,12 %
1434,5 %
1435,34 %
1436,20 %
1437,70 %
1438,100 %
1439,7 %
1440,1 %
1441,4 %
1442,15 %
1443,20 %
1444,6 %
1445,8 %
1446,10 %
1447,4 %
1448,20 %
1449,8 %
1450,9 %
1451,1 %
1452,5 %
1453,8 %
1454,5 %
1455,2 %
1456,8 %
1457,1 %
1458,8 %
1459,11 %
1460,3 %
1461,2 %
1462,2 %
1463,8 %
1464,2 %
1465,2 %
1466,flat percent
1467,01 %
1468,10 %
1469,one percent
1470,60 %
1471,2 %
1472,9 %
1473,70 %
1474,2 %
1475,3 %
1476,ninety percent
1477,Equity percent
1478,25 %
1479,plots percent
1480,REO percent
1481,19 %
1482,ratio percent
1483,kept percent
1484,2 %
1485,7 %
1486,2 %
1487,15 %
1488,6 %
1489,2 %
1490,7 %
1491,99 %
1492,30 %
1493,2 %
1494,10 %
1495,10 %
1496,25 %
1497,37 %
1498,50 %
1499,3 %
1500,2 %
1501,100 %
1502,90 %
1503,20 %
1504,5 %
1505,27 %
1506,50 %
1507,10 %
1508,10 %
1509,year-over-year percent
1510,showing percent
1511,terms percent
1512,100 %
1513,9 %
1514,8 %
1515,6 %
1516,1 %
1517,full percent
1518,30 %
1519,7 %
1520,2 %
1521,95 %
1522,8 %
1523,zero percent
1524,8 %
1525,34 %
1526,1 %
1527,5 %
1528,13 %
1529,14 %
1530,23 %
1531,8 %
1532,9 %
1533,5 %
1534,4 %
1535,70 %
1536,25 %
1537,70 %
1538,70 %
1539,58 %
1540,10 %
1541,51 %
1542,77 %
1543,41 %
1544,63 %
1545,61 %
1546,82 %
1547,58 %
1548,38 %
1549,62 %
1550,87 %
1551,98 %
1552,97 %
1553,70 %
1554,86 %
1555,73 %
1556,74 %
1557,50 %
1558,5 %
1559,level percent
1560,subtracting percent
1561,0 %
1562,4 %
1563,4 %
1564,0 %
1565,8 %
1566,25 %
1567,10 %
1568,90 %
1569,2 %
1570,35 %
1571,8 %
1572,100 %
1573,Ninety percent
1574,2 %
1575,2 %
1576,20 %
1577,6 %
1578,2 %
1579,7 %
1580,6 %
1581,67 %
1582,4 %
1583,9 %
1584,1 %
1585,4 %
1586,1 %
1587,8 %
1588,0 %
1589,1 %
1590,5 %
1591,56 %
1592,6 %
1593,4 %
1594,7 %
1595,5 %
1596,1 %
1597,5 %
1598,6 %
1599,7 %
1600,0 %
1601,2 %
1602,6 %
1603,2 %
1604,7 %
1605,2 %
1606,2 %
1607,9 %
1608,120 %
1609,84 %
1610,20 %
1611,20 %
1612,20 %
1613,position percent
1614,2 %
1615,the percent
1616,73 %
1617,5 %
1618,100 %
1619,150 %
1620,4 %
1621,19 %
1622,84 %
1623,24 %
1624,35 %
1625,20 %
1626,5 %
1627,5 %
1628,5 %
1629,57 %
1630,8 %
1631,3 %
1632,4 %
1633,1 %
1634,100 %
1635,36 %
1636,71 %
1637,39 %
1638,Eighty-eight percent
1639,one percent
1640,40 %
1641,80 %
1642,10 %
1643,23 %
1644,50 %
1645,2 %
1646,1 %
1647,1 %
1648,22 %
1649,5 %
1650,3 %
1651,2 %
1652,4 %
1653,0 %
1654,half percent
1655,1 %
1656,4 %
1657,40 %
1658,6 %
1659,80 %
1660,50 %
1661,70 %
1662,8 %
1663,6 %
1664,250 %
1665,8 %
1666,4 %
1667,10 %
1668,98 %
1669,98 %
1670,6 %
1671,6 %
1672,1 %
1673,0 %
1674,47 %
1675,5 %
1676,0 %
1677,20 %
1678,80 %
1679,28 %
1680,153 %
1681,47 %
1682,9 %
1683,1 %
1684,50 %
1685,healthy percent
1686,35 %
1687,8 %
1688,full percent
1689,50 %
1690,35 %
1691,2 %
1692,3 %
1693,5 %
1694,0 %
1695,28 %
1696,1 %
1697,8 %
1698,2 %
1699,8 %
1700,30 %
1701,5 %
1702,8 %
1703,5 %
1704,small percent
1705,100 %
1706,5 %
1707,4 %
1708,25 %
1709,10 %
1710,25 %
1711,2 %
1712,5 %
1713,23 %
1714,19 %
1715,5 %
1716,37 %
1717,68 %
1718,18 %
1719,2 %
1720,5 %
1721,2 %
1722,5 %
1723,59 %
1724,31 %
1725,32 %
1726,11 %
1727,9 %
1728,6 %
1729,50 %
1730,1 %
1731,3 %
1732,3 %
1733,1 %
1734,5 %
1735,5 %
1736,80 %
1737,90 %
1738,20 %
1739,6 %
1740,8 %
1741,9 %
1742,9 %
1743,7 %
1744,0 %
1745,7 %
1746,9 %
1747,3 %
1748,year-over-year percent
1749,showing percent
1750,2 %
1751,terms percent
1752,100 %
1753,9 %
1754,8 %
1755,1 %
1756,80 %
1757,80 %
1758,80 %
1759,50 %
1760,70 %
1761,4 %
1762,0 %
1763,37 %
1764,83 %
1765,7 %
1766,80 %
1767,52 %
1768,9 %
1769,2 %
1770,1 %
1771,35 %
1772,two percent
1773,6 %
1774,1 %
1775,8 %
1776,7 %
1777,8 %
1778,2 %
1779,44 %
1780,3 %
1781,9 %
1782,33 %
1783,8 %
1784,5 %
1785,87 %
1786,10 %
1787,50 %
1788,using percent
1789,6 %
1790,70 %
1791,59 %
1792,30 %
1793,42 %
1794,16 %
1795,80 %
1796,25 %
1797,6 %
1798,80 %
1799,9 %
1800,5 %
1801,4 %
1802,5 %
1803,50 %
1804,25 %
1805,13 %
1806,13 %
1807,25 %
1808,60 %
1809,24 %
1810,1 %
1811,1 %
1812,10 %
1813,7 %
1814,60 %
1815,53 %
1816,70 %
1817,5 %
1818,4 %
1819,4 %
1820,7 %
1821,99 %
1822,3 %
1823,5 %
1824,1 %
1825,5 %
1826,6 %
1827,24 %
1828,9 %
1829,5 %
1830,2 %
1831,1 %
1832,6 %
1833,22 %
1834,75 %
1835,3 %
1836,20 %
1837,28 %
1838,7 %
1839,5 %
1840,1 %
1841,35 %
1842,6 %
1843,46 %
1844,60 %
1845,6 %
1846,2 %
1847,3 %
1848,5 %
1849,7 %
1850,2 %
1851,4 %
1852,4 %
1853,25 %
1854,25 %
1855,2 %
1856,8 %
1857,5 %
1858,6 %
1859,2 %
1860,3 %
1861,1 %
1862,1 %
1863,7 %
1864,increase percent
1865,expressed percent
1866,teen percent
1867,3 %
1868,9 %
1869,0 %
1870,3 %
1871,3 %
1872,6 %
1873,8 %
1874,0 %
1875,3 %
1876,7 %
1877,9 %
1878,51 %
1879,5 %
1880,10 %
1881,5 %
1882,9 %
1883,0 %
1884,1 %
1885,program percent
1886,60 %
1887,shrank percent
1888,largest percent
1889,growing percent
1890,2 %
1891,40 %
1892,1 %
1893,26 %
1894,1 %
1895,5 %
1896,25 %
1897,11 %
1898,25 %
1899,25 %
1900,42 %
1901,19 %
1902,13 %
1903,5 %
1904,1 %
1905,34 %
1906,129 %
1907,77 %
1908,67 %
1909,5 %
1910,37 %
1911,10 %
1912,8 %
1913,5 %
1914,2 %
1915,5 %
1916,70 %
1917,3 %
1918,10 %
1919,15 %
1920,0 %
1921,30 %
1922,50 %
1923,2 %
1924,33 %
1925,17 %
1926,42 %
1927,5 %
1928,5 %
1929,1000 %
1930,25 %
1931,5 %
1932,2 %
1933,5 %
1934,67 %
1935,49 %
1936,25 %
1937,9 %
1938,9 %
1939,49 %
1940,90 %
1941,32 %
1942,5 %
1943,40 %
1944,100 %
1945,4 %
1946,4 %
1947,52 %
1948,7 %
1949,39 %
1950,30 %
1951,33 %
1952,3 %
1953,58 %
1954,8 %
1955,3 %
1956,7 %
1957,6 %
1958,5 %
1959,2 %
1960,4 %
1961,2 %
1962,16 %
1963,larger percent
1964,0 %
1965,1 %
1966,77 %
1967,3 %
1968,6 %
1969,6 %
1970,7 %
1971,9 %
1972,13 %
1973,49 %
1974,six percent
1975,49 %
1976,16 %
1977,students percent
1978,6 %
1979,1 %
1980,2 %
1981,8 %
1982,6 %
1983,1 %
1984,4 %
1985,4 %
1986,reducing percent
1987,6 %
1988,8 %
1989,9 %
1990,20 %
1991,20 %
1992,50 %
1993,40 %
1994,1 %
1995,10 %
1996,135 %
1997,97 %
1998,3 %
1999,9 %
2000,50 %
2001,65 %
2002,Ten percent
2003,3 %
2004,7 %
2005,3 %
2006,3 %
2007,58 %
2008,60 %
2009,30 %
2010,8 %
2011,44 %
2012,22 %
2013,10 %
2014,4 %
2015,90 %
2016,80 %
2017,9 %
2018,20 %
2019,1 %
2020,48 %
2021,Sixty-six percent
2022,5 %
2023,1 %
2024,4 %
2025,59 %
2026,8 %
2027,debt percent
2028,6 %
2029,7 %
2030,5 %
2031,3 %
2032,1 %
2033,6 %
2034,84 %
2035,1 %
2036,nine percent
2037,2 %
2038,highest percent
2039,8 %
2040,1 %
2041,90 %
2042,173 %
2043,50 %
2044,44 %
2045,40 %
2046,6 %
2047,1 %
2048,7 %
2049,1 %
2050,9 %
2051,6 %
2052,11 %
2053,63 %
2054,5 %
2055,4 %
2056,4 %
2057,7 %
2058,9 %
2059,1 %
2060,3 %
2061,5 %
2062,5 %
2063,4 %
2064,6 %
2065,6 %
2066,4 %
2067,7 %
2068,7 %
2069,5 %
2070,0 %
2071,Obesity Percent
2072,9 %
2073,1 %
2074,9 %
2075,8 %
2076,80 %
2077,1 %
2078,1 %
2079,7 %
2080,7 %
2081,1 %
2082,2 %
2083,2 %
2084,6 %
2085,2 %
2086,0 %
2087,0 %
2088,Obesity Percent
2089,1 %
2090,2 %
2091,3 %
2092,40 %
2093,20 %
2094,2 %
2095,19 %
2096,4 %
2097,4 %
2098,small percent
2099,35 %
2100,4 %
2101,4 %
2102,90 %
2103,2 %
2104,4 %
2105,5 %
2106,5 %
2107,7 %
2108,5 %
2109,3 %
2110,3 %
2111,8 %
2112,2 %
2113,2 %
2114,2 %
2115,5 %
